               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.017128,            0.010582,           0.0072644,             0.76839,              0.7714,             0.82595,             0.62488,            0.014482,           0.0039633,            0.021269,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017331,            0.010606,           0.0071487,             0.81796,             0.83273,             0.87778,             0.66766,            0.014278,           0.0038751,            0.015701,             0.00406,             0.00406,             0.00406
                 122,            0.017897,            0.010621,           0.0087211,             0.74369,              0.8109,             0.83349,              0.6327,            0.014419,           0.0039777,            0.016522,           0.0040105,           0.0040105,           0.0040105
                 123,            0.016836,            0.010745,           0.0085513,             0.78143,             0.73373,             0.80532,             0.60213,            0.015188,           0.0039505,            0.022754,            0.003961,            0.003961,            0.003961
                 124,            0.016436,            0.010639,           0.0067917,              0.7136,             0.76364,             0.79931,             0.60452,            0.014577,           0.0039393,            0.019478,           0.0039115,           0.0039115,           0.0039115
                 125,            0.018895,            0.010496,           0.0076669,             0.79998,             0.72082,             0.83591,             0.63753,            0.014379,            0.003817,            0.018206,            0.003862,            0.003862,            0.003862
                 126,            0.016933,            0.010662,           0.0066225,             0.76525,              0.8038,             0.82837,             0.62254,            0.013729,           0.0039146,            0.015499,           0.0038125,           0.0038125,           0.0038125
                 127,            0.016041,            0.010507,           0.0071343,             0.79345,             0.71155,              0.7963,             0.59694,            0.013883,           0.0039411,            0.015492,            0.003763,            0.003763,            0.003763
                 128,            0.017893,            0.010595,           0.0074167,             0.73667,             0.79432,             0.81427,             0.61874,             0.01401,           0.0039061,            0.016585,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017189,            0.010434,           0.0076909,             0.76263,             0.70915,             0.78474,             0.59183,            0.013787,           0.0039416,            0.020181,            0.003664,            0.003664,            0.003664
                 130,             0.01604,            0.010372,           0.0064325,             0.74412,             0.76252,             0.80344,             0.60793,            0.013701,           0.0038853,             0.01549,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016999,            0.010374,           0.0056827,             0.71522,             0.84961,             0.79985,             0.60681,            0.013769,           0.0038373,            0.016414,            0.003565,            0.003565,            0.003565
                 132,            0.016655,            0.010228,           0.0063569,              0.7477,             0.80835,             0.82023,             0.62677,            0.014064,           0.0037787,            0.018829,           0.0035155,           0.0035155,           0.0035155
                 133,            0.016353,            0.010289,           0.0063126,             0.83568,              0.6876,             0.82856,             0.63516,            0.013646,           0.0038083,            0.017498,            0.003466,            0.003466,            0.003466
                 134,            0.016796,            0.010233,            0.006353,             0.70926,             0.84513,             0.83721,             0.64109,            0.013655,           0.0037389,            0.014117,           0.0034165,           0.0034165,           0.0034165
                 135,            0.016201,            0.010065,           0.0062728,             0.79594,             0.78327,             0.83137,             0.63479,            0.013696,           0.0038512,            0.013291,            0.003367,            0.003367,            0.003367
